Datum,Klaerwerk_id,Proben_id,Virusisolate,Virus_typ
2022-W27,Klaerwerk_2,22-0368,0,NA
2022-W28,Klaerwerk_2,22-0426,0,NA
2022-W28,Klaerwerk_1,22-0425,1,Sabin_1-like
2022-W29,Klaerwerk_2,22-0487,0,NA
2022-W29,Klaerwerk_1,22-0486,1,Sabin_1-like
2022-W29,Klaerwerk_1,22-0486,1,Sabin_3-like
2022-W30,Klaerwerk_1,22-0511,0,NA
2022-W30,Klaerwerk_2,22-0512,0,NA
2022-W31,Klaerwerk_2,22-0564,0,NA
2022-W31,Klaerwerk_1,22-0563,1,Sabin_3-like
2022-W32,Klaerwerk_1,22-0582,0,NA
2022-W32,Klaerwerk_2,22-0583,0,NA
2022-W33,Klaerwerk_1,22-0601,0,NA
2022-W33,Klaerwerk_3,22-0602,0,NA
2022-W34,Klaerwerk_2,22-0631,0,NA
2022-W34,Klaerwerk_1,22-0630,1,Sabin_3-like
2022-W35,Klaerwerk_3,22-0652,0,NA
2022-W35,Klaerwerk_1,22-0651,1,Sabin_3-like
2022-W36,Klaerwerk_1,22-0665,0,NA
2022-W36,Klaerwerk_2,22-0666,0,NA
2022-W37,Klaerwerk_1,22-0723,0,NA
2022-W37,Klaerwerk_3,22-0724,2,Sabin_3-like
2022-W38,Klaerwerk_1,22-0760,0,NA
2022-W38,Klaerwerk_2,22-0761,0,NA
2022-W39,Klaerwerk_1,22-0810,0,NA
2022-W39,Klaerwerk_3,22-0811,0,NA
